nm	mua[cm-1]	musp[cm-1]
892.0	0.03877	8.581999999999999
894.0	0.04347	8.547
896.0	0.04976	8.519
898.0	0.0518	8.52
900.0	0.05478	8.472
902.0	0.05245	8.437
904.0	0.0559099999999999	8.431999999999999
906.0	0.0579999999999999	8.378
908.0	0.06758	8.357
910.0	0.07582	8.333
912.0	0.09041	8.342
914.0	0.0963999999999999	8.292
916.0	0.1054	8.279
918.0	0.1074999999999999	8.265
920.0	0.1197	8.265
922.0	0.1284	8.212
924.0	0.1369	8.167
926.0	0.1435	8.156
928.0	0.1486	8.139
930.0	0.1538	8.103
932.0	0.1514	8.068
934.0	0.1442	8.062000000000001
936.0	0.1277	8.041
938.0	0.1129999999999999	7.971
940.0	0.09863	7.981
942.0	0.0805	7.976
944.0	0.0648	7.945
946.0	0.0539599999999999	7.917
948.0	0.04641	7.921
950.0	0.0436999999999999	7.894
952.0	0.03921	7.882
954.0	0.036	7.854999999999999
956.0	0.03456	7.84
958.0	0.03109	7.837
960.0	0.02896	7.812
962.0	0.02781	7.765
964.0	0.02266	7.758000000000001
966.0	0.02421	7.744999999999999
968.0	0.02307	7.727
970.0	0.02448	7.705999999999999
972.0	0.02181	7.7
974.0	0.02277	7.679
976.0	0.02239	7.664
978.0	0.02127	7.625999999999999
980.0	0.02303	7.621
982.0	0.02354	7.578
984.0	0.02161	7.576
986.0		7.552
988.0	0.02316	7.546
990.0	0.02402	7.509
992.0	0.02549	7.51
994.0	0.02598	7.481
996.0	0.0280899999999999	7.45
998.0	0.03197	7.437
1000.0	0.03449	7.42
1002.0	0.03908	7.4
1004.0	0.04621	7.376
1006.0	0.0456	7.369
1008.0	0.0505599999999999	7.362
1010.0	0.0531699999999999	7.335000000000001
1012.0	0.05819	7.329
1014.0	0.06757	7.305000000000001
1016.0	0.0677	7.284000000000001
1018.0	0.07047	7.25
1020.0	0.07867	7.231999999999999
1022.0	0.07617	7.208
1024.0	0.07785	7.1930000000000005
1026.0	0.07978	7.167
1028.0	0.08141	7.151
1030.0	0.09062	7.143000000000001
1032.0	0.0897	7.099
1034.0	0.0939	7.098
1036.0	0.09667	7.098
1038.0	0.0926699999999999	7.066
1040.0	0.1003	7.056
